section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Delhi Orders,10,95,M/s LS Metal Vina LLC,12.01.2024,09.04.2024,Origin of subject goods & benefit of AIFTA on subject goods,CAAR/Del/LS Metal/03/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-ord-03-10042024.pdf,YES
Delhi Orders,10,96,M/s Nokia Solutions & Network India Pvt. Ltd.,05.12.2023,26.02.2024,"Classification of Equipment delivering ""Dense Wavelength Division Multiplexers (DWDM) and Optical Tr",CAAR/Del/Nokia Solution/02/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-02-nokia-26feb2024.pdf,YES
Delhi Orders,10,97,M/s Nokia Solutions and Network India Pvt. Ltd.,05.12.2023,29.01.2024,Classification of DWDM ( Dense Wavelength Division Multiplexers) and Optical Transport Network Techn,CAAR/Del/Nokia Solution/01/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/nokia-delhi-order-31012024.pdf,YES
Delhi Orders,10,98,M/s ATL Battery Technology (India) Pvt Ltd.,15.06.2023,22.11.2023,Effective IGST leviable on the import on impugned goods,CAAR/Del/ATL Battery /06/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/ATL-order-22112023.pdf,YES
Delhi Orders,10,99,M/s Magnett Enterprises,24.05.2023,20.10.2023,Eligibility of BIS Compliance Certification,CAAR/Del/Magnett/05/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/order-delhi-magnett-05-20102023.pdf,YES
Delhi Orders,10,100,M/s Coslight India Telecom Pvt. Ltd,05.04.2023,18.10.2023,Notification no 50/2017 dated 30.06.2017,CAAR/Del/Coslight/04/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/order-delhi-coslight-04-20102023.pdf,YES
Delhi Orders,11,101,M/s Amazon Wholesale India Pvt Ltd,18.08.2023,14.09.2023,Modification petition,CAAR/Delhi/Amazon/03/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/ruling-Amazon-19092023.pdf,YES
Delhi Orders,11,102,M/s Sunmarg Consultancy LLP,03.02.2023,02.08.2023,Assessable value for calculating basic custom duty and cess on import of rags,CAAR/Delhi/ Sunmarg/02/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/sunmarg-order-delhi-04082023.pdf,YES
Delhi Orders,11,103,M/s Schlumberger Asia Services Limited,02.02.2023,13.06.2023,Withdrawal of the application,CAAR/Del/ Schlumberger/01/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/schlumberger-order-delhi-16062023.pdf,YES
Delhi Orders,11,104,M/s Shree Shyam Pan Products Pvt Ltd,02.06.2022,22.12.2022,Withdrawal of the application,CAAR/Delhi/ Shree Shyam/14/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/syam-order-delhi-14-30dec2022.pdf,YES
Delhi Orders,11,105,M/s Azure Power Fifty Two Pvt. Ltd,18.08.2022,17.11.2022,Withdrawal of the application.,CAAR/Delhi/ Azure power-52/13/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/azure-power-52-order-22112022.pdf,YES
Delhi Orders,11,106,M/s Azure Power Fifty One Pvt. Ltd,18.08.2022,17.11.2022,Withdrawal of the application.,CAAR/Delhi/ Azure power-51/12/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/azure-power-51-order-22112022.pdf,YES
Delhi Orders,11,107,M/s AMPSolar Urja Pvt. Ltd.,10.08.2022,09.11.2022,Withdrawal of the application.,CAAR/Delhi/ AMPSolar/11/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/ampsolar-order-no-11.pdf,YES
Delhi Orders,11,108,M/s ReNew Hans Urja Private Limited,07.09.2022,09.11.2022,Withdrawal of the application.,CAAR/Delhi/ReNew/10/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/renew-order-no-10.pdf,YES
Delhi Orders,11,109,M/s Green Infra Renewable Project Limited,22.08.2022,09.11.2022,Withdrawal of the application.,CAAR/Delhi/Green Infra/09/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/green-order-no-9.pdf,YES
Delhi Orders,11,110,M/s Ballians Agro Food Processing Pvt Ltd,27.06.2022,07.10.2022,Closure of application.,CAAR/Del/Ballians/8/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Ballians-Order-no-8.pdf,YES
Delhi Orders,12,111,M/s Spraytec India Ltd,16.03.2020,08.08.2022,Application for ordering Ruling as void ab initio.,CAAR/Del/Spraytec/07/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/spraytec-order-no-08082022.pdf,YES
Delhi Orders,12,112,M/s Gecko Motors Pvt Ltd,18.01.2022,21.04.2022,Withdrawal of application.,CAAR/Del/GECKO/03/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Gecko order no 3.pdf,YES
Delhi Orders,12,113,M/s Syrotech Networks Private Ltd,07.10.2021,21.04.2022,Withdrawal of application.,CAAR/Del/Syrotech/04/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Syrotech Order No 4.pdf,YES
Delhi Orders,12,114,M/s Gee Pee Mica Enterprises,18.01.2022,21.04.2022,Rejection of application.,CAAR/Del/Gee Pee Mica/05/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Gee Pee Mica order no 5 2022.pdf,YES
Delhi Orders,12,115,M/s Aggarwal Laminates Pvt Ltd,18.01.2022,21.04.2022,Rejection of application.,CAAR/Del/Aggarwal Laminates/06/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Aggarwal Laminate  Order no 6    2022.pdf,YES
Delhi Orders,12,116,M/s Isha Exim,06.05.2016,31.03.2022,Representation of Customs Chennai-II against Advance Ruling dated 31.03.2017.,CAAR/Del/Isha Exim/02/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Isha Exim order no 02 2022.pdf,YES
Delhi Orders,12,117,M/s Indian Compressors Ltd,16.08.2017,11.01.2022,Order issued without pronouncing Ruling,CAAR/Del/Indian Compressors/01/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/order No. 1 Indian Compressors Ltd.pdf,YES
Delhi Orders,12,118,M/s Zimplistic Pvt Ltd,27.07.2021,20.12.2021,Withdrawal of the application,CAAR/Del/Zimplistic/12/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Zimplistic pte Limited order No. 12.pdf,YES
Delhi Orders,12,119,M/s Microsoft Corporation India Pvt Ltd,03.09.2012,29.11.2021,Closure of application,CAAR/Del/Microsoft/10/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/order no 10 Microsoft.pdf,YES
Delhi Orders,12,120,M/s S.K.B Overseas Corporation,22.05.2017,29.11.2021,Closure of application,CAAR/Del/S.K.B Overseas/11/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Order No 11 SKB.pdf,YES
Delhi Orders,13,121,M/s Amazon Wholesale India Pvt Ltd,05.03.2018,11.11.2021,Withdrawal of the application,CAAR/Del/Amazon/9/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon order 9  11 Nov 2021.pdf,YES
Delhi Orders,13,122,M/s Amazon Wholesale India Pvt Ltd,09.04.2021,01.11.2021,Withdrawal of the application,CAAR/Del/Amazon/8/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon 27 order no 8.pdf,YES
Delhi Orders,13,123,M/s India Luxco Retail Private Limited,15.09.2015,27.10.2021,Withdrawal of the application,CAAR/Del/India Luxco/06/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/India luxco oder.pdf,YES
Delhi Orders,13,124,M/s Ceragem India Pvt Ltd,19.10.2015,28.10.2021,Withdrawal of the application,CAAR/Del/Ceragem/07/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/ceragem order.pdf,YES
Delhi Orders,13,125,M/s Sunanda Polymers,05.09.2017,20.10.2021,Closure of application,CAAR/Del/ Sunanda/05/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Sunanada order.pdf,YES
Delhi Orders,13,126,M/s Kinect Power Pvt Ltd,04.05.2018,20.10.2021,Closure of application,CAAR/Del/Kinect Power /04/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/kinect Power Order.pdf,YES
Delhi Orders,13,127,M/s Om Computronix,03.12.2018,20.10.2021,Closure of application,CAAR/Del/Om Computronix/03/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/om computronix order.pdf,YES
Delhi Orders,13,128,M/s LG Electronics India Private Limited,01.06.2018,13.08.2021,Withdrawal of the application,CAAR/Del/L.G.Electronics/01/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Order No 01 of 2021.pdf,YES
Delhi Orders,13,129,M/s Amazon Wholesale India Private Limited,12.03.2021,24.08.2021,Modification petition,CAAR/Del/Amazon/02/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Order No 02 of 2021.pdf,YES
