section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Delhi Orders,6,60,M/s Tradex India,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Tradex/18/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-tradex-18-2025.pdf,YES
Delhi Orders,7,61,M/s Tradex India,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Tradex/17/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-tradex-17-2025.pdf,YES
Delhi Orders,7,62,M/s Tradex India,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Tradex/16/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-tradex-16-2025.pdf,YES
Delhi Orders,7,63,M/s Jurassic Marketing Pvt. Ltd.,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Jurassic/15/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-jurassic-15-2025.pdf,YES
Delhi Orders,7,64,M/s Jurassic Marketing Pvt. Ltd,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Jurassic/14/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-jurassic-14012025.pdf,YES
Delhi Orders,7,65,M/s Jurassic Marketing Pvt. Ltd,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Jurassic/13/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-Jurassic-14jan2025.pdf,YES
Delhi Orders,7,66,M/s Jurassic Marketing Pvt. Ltd.,02-12-2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Del/Jurassic/12/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-del-jurassic-14012025.pdf,YES
Delhi Orders,7,67,M/s Akam Impex,27.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Akam Impex/11/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Akam_Impex11.pdf,YES
Delhi Orders,7,68,M/s Akam Impex,27.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Akam Impex/10/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Akam_Impex10.pdf,YES
Delhi Orders,7,69,M/s Akam Impex,27.11.2024,10.01.2025,"Roasted Areca Nuts (whole), Roasted Areca Nuts (Split), Roasted Areca Nuts (cut)",CAAR/Delhi/Akam Impex/09/2025,https://www.cbic.gov.in/CONTENTREPO/CAAR/Akam_Impex9.pdf,YES
