section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Mumbai Orders,6,57,M/s. Sarveshwari Industries,24/09/2024,24/03/2025,Import of scented sweet supari,CAAR/MUM/ARC/26/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-26-27032025.pdf,YES
Mumbai Orders,6,58,M/s. Rama Exports,13/12/2024,20/03/2025,Applicability of customs notification no 25/2023-Cus dt 01.04.2023,CAAR/MUM/ARC/25/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-ord-25-21032025.pdf,YES
Mumbai Orders,6,59,M/s. Viewsonic Technologies India Private Limited,06/06/2024,06/03/2025,Classification of Data Projector,CAAR/MUM/ARC/24/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-ord-24-10032025.pdf,YES
Mumbai Orders,6,60,M/s. Audio Distribution House Pvt Ltd,21/05/2024,06/03/2025,Classification of Optoma Creative Touch 5-series Interactive Flat Panel.,CAAR/MUM/ARC/23/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-ord-23-10032025.pdf,YES
Mumbai Orders,7,61,M/s. Viewsonic Technologies India Private Limited,13/05/2024,06/03/2025,Classification of Interactive Flat Panel.,CAAR/MUM/ARC/22/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-ord-22-10032025.pdf,YES
Mumbai Orders,7,62,M/s. Viewsonic Technologies India Private Limited,13/05/2024,06/03/2025,"Classification of Data Projector Model Nos.PA504W, PA503XE, PA503W, PA503SE, PS501W, PA504W Under CT",CAAR/MUM/ARC/21/2024-25,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-ord-21-10032025.pdf,YES
Mumbai Orders,7,63,M/s. Mundra Agro Foods LLP,04/12/2024,27/01/2025,classification of Roasted Areca Nuts,"CAAR/MUM/ARC/19,20/2024-25",https://www.cbic.gov.in/CONTENTREPO/CAAR/car-mum-order-19-20-28012025.pdf,YES
Mumbai Orders,7,64,M/s. Amtrade,23/10/2024,27/01/2025,"Classification of Roasted areca nuts(whole), Roasted areca nuts(split), Roasted areca nuts(cut)","CAAR/MUM/ARC/17,18/2024-25",https://www.cbic.gov.in/CONTENTREPO/CAAR/car-mum-order-17-18-28012025.pdf,YES
Mumbai Orders,7,65,M/s.Shree Thirumala Overseas,10/11/2024,27/01/2025,Classification of Roasted Areca Nuts,"CAAR/MUM/ARC/14,15,16/2024-25",https://www.cbic.gov.in/CONTENTREPO/CAAR/car-mum-order-14-15-16-28012025.pdf,YES
Mumbai Orders,7,66,M/s.Mac Distributors,19/11/2024,27/01/2025,Classification of Roasted Areca Nuts,"CAAR/MUM/ARC/8,9,10,11,12,13/2024-25",https://www.cbic.gov.in/CONTENTREPO/CAAR/car-mum-order-8-9-10-11-12-13-28012025.pdf,YES
Mumbai Orders,7,67,M/s. Total Export,18/11/2024,27/01/2025,Classification of Roasted Areca Nuts,"CAAR/MUM/ARC/5,6,7/2024-25",https://www.cbic.gov.in/CONTENTREPO/CAAR/car-mum-order-5-6-7-28012025.pdf,YES
Mumbai Orders,7,68,M/s. Dental Fruits,12/09/2024,14/01/2025,Import of Dental water flosser,CAAR/MUM/ARC/04/Mumbai,https://www.cbic.gov.in/CONTENTREPO/CAAR/mum-order-04-17012025.pdf,YES
Mumbai Orders,7,69,M/s Unibourne Specialities LLP,04/12/2024,18/12/2024,Import of Cheese for trading by availing exemption from payment of basic customs duty.,CAAR/MUM/ARC/03/Mumbai,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-03-19122024.pdf,YES
Mumbai Orders,7,70,M/s G.R.S. Mines and Minerals Pvt. Ltd.,20/06/2024,28/11/2024,Classification of the product i.e. used rail under CTH 7204 or otherwise,CAAR/MUM/ARC/02 & 03/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-order-02-03-28112024.pdf,YES
Mumbai Orders,8,71,M/s Ruke Retail India Pvt. Ltd.,18/04/2024,27/11/2024,"Classification of Import of product "" Solar Cell """,CAAR/MUM/ARC/01/Mumbai,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mum-order-01-28112024.pdf,YES
Mumbai Orders,8,72,M/s Mayur Glass Industries,14/09/2023,12/01/2024,For the classification of Clear Float Glass,CAAR/Mum/ARC/01/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-order-01-12012024.pdf,YES
Mumbai Orders,8,73,M/s Vakrangee Hardware,16/06/2023,12/01/2024,For the classification of Clear Float Glass,CAAR/Mum/ARC/02/2024,https://www.cbic.gov.in/CONTENTREPO/CAAR/caar-mumbai-order-02-12012024.pdf,YES
Mumbai Orders,8,74,M/s Alltech Biotechnology Pvt. Ltd.,08.06.2023,11.12.2023,Order issued for withdrawal of application filed by M/s Alltech Biotechnology Pvt. Ltd.,CAAR/Mum/ARC/68/2023,https://www.cbic.gov.in/CONTENTREPO/CAAR/CAAR-Mum-ARC-68-2023-03012024.pdf,YES
